word	kept	dropped	passes	tier
ごてつく	13	15	13 15 | 13 | 13	jmdict
ごろつく	33	15	33 | 33 | 15 33	jmdict
さざめく	31	50	31 | 31 50 | 31	jmdict
さす	15 17 33 50	52	15 17 33 52 | 15 17 33 50 | 15 17 33 50	jmdict
させる		11 14 36	14 | 36 | 11	jmdict
さて置く	15	16	15 16 | 15 | 15	jmdict
さらけ出す	31	15	15 | 31 | 31	jmdict
さらす	15	31	15 | 15 | 15 31	jmdict
ざらつく	13	51	13 | 13 51 | 13	jmdict
しがみ付く	15	33	15 33 | 15 | 15	jmdict
したる	51	15	51 | 51 | 15	jmdict
して遣る	34	35	34 | 34 | 34 35	jmdict
しとく	34	15 16	16 34 | 15 | 34	jmdict
しな垂れる	15	33 56	15 | 15 33 | 56	jmdict
しばく	15	35	35 | 15 | 15	jmdict
しまい込む	15	17	15 17 | 15 | 15	jmdict
しみったれる	37	19 30	30 37 | 37 | 19	jmdict
しみ出る	15 51	12	15 51 | 12 | 15 51	jmdict
しめる	15 19	36 51 56	15 19 | 15 | 15 19 36 51 56	jmdict
しゃくり上げる	56	30	30 56 | 56 | 56	jmdict
しゃしゃり出る	35	15 17	17 35 | 15 35 | 35	jmdict
しゃぶり付く	56	15	15 56 | 56 | 56	jmdict
しょっ引く	36	15	36 | 15 36 | 36	jmdict
し兼ねる	13	34	13 | 13 34 | 13	jmdict
し出す	15	38	15 38 | 15 | 15	jmdict
し続ける	15	16	15 | 16 | 15	jmdict
し過ぎる	19	15	19 | 19 | 15 19	jmdict
じっと見返す	30	33 35	30 35 | 33 | 30	jmdict
じゃら付く	50	33	50 | 33 | 50	jmdict
じゃれ付く	35	33	35 | 35 | 33 35	jmdict
じゃれ合う	35	33	35 | 35 | 33 35	jmdict
すくい上げる	15	17 34	15 17 | 15 34 | 15	jmdict
すくい出す	15	34	15 | 15 34 | 15	jmdict
すくみ上がる	30 56	15	15 30 | 30 56 | 30 56	jmdict
すすり上げる	56	15 30	15 30 56 | 56 | 56	jmdict
すすり込む		15 33 56 57	57 | 33 | 15 56	jmdict
すっこける	15	33 34	15 | 15 33 | 15 34	jmdict
すっぱ抜く	31	34	31 34 | 31 | 31	jmdict
すっぽ抜ける	15	17	15 | 15 17 | 15	jmdict
すっ飛ばす	15 16	14 17	15 16 17 | 14 15 16 | 15 16	jmdict
すり寄せる	11 15	17	11 15 17 | 15 | 11 15	jmdict
すり抜ける	15 17	34	15 17 34 | 15 17 | 15 17	jmdict
すり替える	11 15	34	15 34 | 11 15 | 11 15	jmdict
すれ違う	11 15	17 35	11 17 35 | 11 15 | 11 15	jmdict
ずば抜ける	13	11	13 | 13 | 11 13	jmdict
ずり下ろす	15	17	15 17 | 15 | 15	jmdict
ずる	15	17 34	15 | 15 17 | 15 34	jmdict
せき込む	56	57	56 | 56 57 | 56	jmdict
せぐり上げる	30 56	15	15 30 | 30 56 | 56	jmdict
せせら笑う	35	30	35 | 30 35 | 35	jmdict
せり上げる	15 19	17 37	15 17 | 19 37 | 15 19	jmdict
せる	34	15	15 | 34 | 34	jmdict
そぐう	13	11	11 13 | 13 | 13	jmdict
そそける	15	51	15 | 15 | 15 51	jmdict
そそけ立つ	56	15 51	56 | 15 51 56 | 56	jmdict
そそり勃つ	56	57	57 | 56 | 56	jmdict
そそり立つ	17	50	17 | 17 50 | 17	jmdict
そぞろ歩く	17	15 33	17 33 | 17 | 15	jmdict
そっくり返る	33	15 30	15 30 | 33 | 33	jmdict
そぼ降る	51	50	51 | 51 | 50	jmdict
そり立つ	17	15	17 | 17 | 15 17	jmdict
たげる	37	34	34 | 37 | 37	jmdict
たたっ斬る	15	35	15 35 | 15 | 15	jmdict
たでる	51	15 33	15 51 | 51 | 33 51	jmdict
だぶつく	19	13	19 | 19 | 13 19	jmdict
だれる	13	30	13 | 13 30 | 13	jmdict
ちびる	15 57	19	57 | 15 57 | 15 19 57	jmdict
ちゃう	15	30	15 30 | 15 | 15	jmdict
ちょる	12	15	15 | 12 | 12	jmdict
ちらつかせる	15 31 50	36	15 31 36 | 15 50 | 31 50	jmdict
ついて行く	17 35	15	15 17 35 | 17 35 | 17	jmdict
つかみ出す	15	17	15 | 15 | 15 17	jmdict
つかみ合う	35	14	14 35 | 35 | 35	jmdict
つぎ込む	37	15	37 | 37 | 15 37	jmdict
つつある	15	16	15 | 16 | 15	jmdict
つなぎ合わせる	15	11	15 | 11 15 | 15	jmdict
つまみ上げる	15	33	15 33 | 15 | 15	jmdict
てく	17	15	17 | 17 | 15 17	jmdict
でもある	12	10	12 | 10 12 | 12	jmdict
でんぐり返る	15 33	56	33 | 15 33 | 15 56	jmdict
とく	15 30 31	51	15 30 31 | 15 30 31 | 15 30 31 51	jmdict
とっ捕まえる	15 35	36	15 35 | 15 35 | 15 36	jmdict
とっ捕まる	35	36	35 | 35 | 35 36	jmdict
どきつく	56	30	30 56 | 56 | 56	jmdict
どやし付ける	35	31 36	36 | 31 35 | 35	jmdict
どやす	31 35	15	15 31 35 | 31 35 | 31 35	jmdict
なう	15	33	15 | 15 | 33	jmdict
なぎ倒す	15	34 35	15 | 15 34 | 15 35	jmdict
なのである	10	31	10 | 10 | 10 31	jmdict
にじみ出る	15 30	12 51	15 30 | 12 15 30 | 15 30 51	jmdict
にたつく	30	33	30 | 30 | 30 33	jmdict
ぬるつく	51	13	51 | 51 | 13	jmdict
ねじ伏せる	14 35	36	14 35 | 14 35 | 14 35 36	jmdict
のし上がる	15 36	34	15 36 | 34 36 | 15 36	jmdict
のた打ち回る	56	15	56 | 15 56 | 56	jmdict
のぼせ上がる	30	56	30 | 30 | 30 56	jmdict
のめす		14 15 34 35	14 | 35 | 15 34	jmdict
のめり込む	17 30	15	15 30 | 17 30 | 17 30	jmdict
はぎ合わせる	15	33	15 | 15 33 | 15	jmdict
はぐらかす	35	31	35 | 31 35 | 35	jmdict
はげ上がる	56	57	56 | 56 57 | 56	jmdict
はじき出す	15 36	19 30	15 30 36 | 15 19 36 | 15 36	jmdict
はためく	15	50	15 | 15 | 15 50	jmdict
はち切れる	15	56	15 56 | 15 | 15	jmdict
はっ倒す	15 35	14	14 15 35 | 15 35 | 15 35	jmdict
はめ倒す	35	15	35 | 35 | 15 35	jmdict
はる	15	19	15 | 15 19 | 15	jmdict
ばたつかせる	15	56	15 | 15 | 15 56	jmdict
ばむ	15	13	15 | 15 | 13	jmdict
ばらす	15 31	57	15 31 57 | 15 31 | 15 31	jmdict
ばらつく	11 19	13	11 19 | 11 19 | 11 13	jmdict
ばれる	10	31	10 | 10 | 10 31	jmdict
ぱぐれる	17	11 35	17 | 35 | 11 17	jmdict
ぱらつく	51	50	51 | 51 | 50 51	jmdict
ひた走る	15	17	15 | 15 | 15 17	jmdict
ひっくり返す	15	17 34 35 36	15 36 | 15 17 35 | 15 34	jmdict
ひっくり返る	15	17	15 | 15 17 | 15	jmdict
ひっ捕まえる	15 36	35	15 36 | 35 | 15 36	jmdict
ひっ捕らえる	34	15 35	34 | 15 35 | 34	jmdict
ひねくり回す	15	30	15 | 15 | 15 30	jmdict
ひねり回す	15	30	15 | 15 | 15 30	jmdict
ひねり殺す	15 57	14 56	15 56 57 | 15 57 | 14 57	jmdict
ひょろける	33	15 56	33 56 | 33 | 15 33	jmdict
ひん剥く	15	56	15 | 15 56 | 15	jmdict
びる	15	13 30	30 | 13 15 | 15	jmdict
ふける	16 30 57	15 52	30 52 57 | 16 30 57 | 15 16 30 57	jmdict
ふざく	33	15	15 | 33 | 33	jmdict
ふためく	30	33	30 | 33 | 30	jmdict
ふやかす	15	51	15 | 15 | 15 51	jmdict
ふらつく	15 30 56	33	15 30 33 | 15 30 56 | 15 56	jmdict
ふるい分ける	15	11	15 | 15 | 11 15	jmdict
ふんだくる	37	34 35	34 37 | 37 | 35 37	jmdict
ふん捕まえる	15 35	34	15 34 | 35 | 15 35	jmdict
ぶち上げる	31	15 34 38	31 | 31 34 | 15 31 38	jmdict
ぶち当たる	15	13	13 15 | 15 | 15	jmdict
ぶち抜く	15	14 17	15 | 14 15 | 15 17	jmdict
ぶち破る	15	14	15 | 14 15 | 15	jmdict
ぶち込む	15	36 37	15 | 15 36 37 | 15	jmdict
ぶっ倒れる	15	56	15 | 15 56 | 15	jmdict
ぶっ叩く	15	56	15 56 | 15 | 15	jmdict
ぶっ殺す	57	15	15 57 | 57 | 57	jmdict
ぶっ潰す	15	34	15 | 15 34 | 15	jmdict
ぶっ込む	15	17	15 17 | 15 | 15	jmdict
ぶっ飛ばす	14 15	35	14 15 | 14 15 | 15 35	jmdict
ぶらつく	17 33	15	15 17 | 17 33 | 17 33	jmdict
ぶら下がる	17	15	17 | 17 | 15 17	jmdict
ぶるう	56	15	56 | 56 | 15 56	jmdict
ぶん回す	15	14	14 15 | 15 | 15	jmdict
へたばる	56	15	56 | 56 | 15 56	jmdict
へたる	14 15	56	14 15 | 15 56 | 14 15	jmdict
へばる	56	57	56 | 56 | 56 57	jmdict
べた付く	15	51	15 | 51 | 15	jmdict
べとつく	51	13	51 | 13 51 | 51	jmdict
ほかす	15	34	15 | 15 34 | 15	jmdict
ほかっておく	34	15	34 | 34 | 15 34	jmdict
ほくそ笑む	30	33	30 | 30 33 | 30	jmdict
ほじくり出す	15	30	15 | 15 30 | 15	jmdict
ほじくり返す	15	30	15 30 | 15 | 15	jmdict
ほっつき歩く	17	15 33	17 33 | 15 17 | 17	jmdict
ほっぽらかす	15 34	33	34 | 15 33 | 15 34	jmdict
ほっぽり出す	15 34	35	15 34 | 15 34 | 15 35	jmdict
ぼやかす	15 31	13	15 31 | 15 31 | 13	jmdict
ぼやく	31	30	30 31 | 31 | 31	jmdict
まう	15 33	17	15 33 | 17 33 | 15 33	jmdict
まかり出る	17	12	17 | 17 | 12 17	jmdict
まかり越す	17	15	17 | 17 | 15	jmdict
まかり通る	34	15	34 | 15 34 | 34	jmdict
まくり上げる	15	17	15 | 15 17 | 15	jmdict
まとめ上げる	15 32	34	15 32 | 15 34 | 15 32	jmdict
まやかす	10	35	10 | 10 35 | 10	jmdict
むかつく	30 56	57	30 56 | 30 56 | 30 57	jmdict
むき出す	15	30	15 30 | 15 | 15	jmdict
むしゃぶり付く	33	15 56	33 | 33 | 15 56	jmdict
むせび泣く	30	56	30 56 | 30 | 30	jmdict
むせ返る	56	57	56 | 56 | 56 57	jmdict
めく	13	15	13 | 15 | 13	jmdict
もがき苦しむ	14 30	15 56	15 30 | 14 30 | 14 30 56	jmdict
もじ付く	30	33	30 | 33 | 30	jmdict
もたつく	16	13	16 | 16 | 13 16	jmdict
もつれ込む	15	11 16 35	11 15 16 | 15 | 15 35	jmdict
もみ消す	36 51	15	15 36 51 | 36 51 | 36 51	jmdict
もみ込む	15	51	15 | 15 51 | 15	jmdict
もんどり打つ	15 33	56	15 33 | 33 56 | 15	jmdict
やがる	30	35	30 | 30 | 35	jmdict
やって行く	33	15	15 33 | 33 | 33	jmdict
やに下がる	30	33	30 | 30 | 30 33	jmdict
やり付ける		13 33 34	34 | 33 | 13	jmdict
やり切る	34	15	15 34 | 34 | 34	jmdict
れる	15	13	15 | 15 | 13	jmdict
わめき散らす	31	35	31 | 31 35 | 31	jmdict
アジる	31 35	36	31 35 | 31 35 | 31 36	jmdict
イキる	33	30 35	33 | 30 33 | 33 35	jmdict
イレブる		15 33 34	33 | 15 | 34	jmdict
ウィキる	30	31	30 31 | 30 | 30	jmdict
オケる	32	33	33 | 32 | 32	jmdict
カンコる	12	38	12 38 | 12 | 12	jmdict
ガシる	57	33	57 | 33 | 57	jmdict
ガスる	50	51	51 | 50 | 50	jmdict
ケラケラ笑う	30	33	30 | 30 | 30 33	jmdict
ゲロる	31 57	56	31 57 | 31 57 | 31 56	jmdict
サボる	34	38	34 | 34 38 | 34	jmdict
ジャムる	15	13	13 15 | 15 | 15	jmdict
スタンバる	33	16	33 | 33 | 16 33	jmdict
ステる	15	34	15 | 34 | 15	jmdict
タクる	17	33	17 | 17 33 | 17	jmdict
チキる	30	34	30 34 | 30 | 30	jmdict
チリつく	30	15	30 | 15 | 30	jmdict
チルる	33	30	30 | 33 | 33	jmdict
ツモる		15 34 37	37 | 34 | 15	jmdict
テロる	35	34	34 35 | 35 | 35	jmdict
デブる	56	19	56 | 19 56 | 56	jmdict
トラブる	13	35 38	13 38 | 13 35 | 13	jmdict
ドヤる	31	33 35	31 35 | 31 | 33	jmdict
ド突く	15	35	15 | 15 35 | 15	jmdict
ニチャる	33	30	30 33 | 33 | 33	jmdict
ハモる	32	13	13 | 32 | 32	jmdict
パクつく	33	57	33 | 57 | 33	jmdict
パコる	57	35	57 | 35 | 57	jmdict
パサつく	51	13 15	15 51 | 13 | 51	jmdict
ビニる	33	37	33 | 37 | 33	jmdict
ピクつく	56	15	15 56 | 56 | 56	jmdict
ピリつく	13	56	13 56 | 13 | 13	jmdict
ブチる	34	35	35 | 34 | 34	jmdict
ブチ撒ける	15	31	15 | 15 | 15 31	jmdict
ブヒる	30	33	30 | 33 | 30	jmdict
ブログる	32	31	31 | 32 | 32	jmdict
ブー垂れる	31	35	31 35 | 31 | 31	jmdict
ヘタレる	30	14	14 30 | 30 | 30	jmdict
ホルる	15	30	15 | 30 | 15	jmdict
ボムる	15 51	35	15 51 | 15 35 | 15 51	jmdict
ポシャる	34	38	34 | 34 | 34 38	jmdict
ポチる	37	15 33	37 | 15 37 | 33 37	jmdict
ポニョる	56	15	15 | 56 | 56	jmdict
ヤフる	31	30	30 | 31 | 31	jmdict
ラリる	56	30	30 | 56 | 56	jmdict
リムる	35	15	35 | 15 35 | 35	jmdict
一字空ける	17	31	17 31 | 17 | 17	jmdict
一札入れる	34 37	31	34 37 | 37 | 31 34	jmdict
一発やる	15 57	35 56	15 35 57 | 15 57 | 56	jmdict
一筆書く	32	31	32 | 31 | 32	jmdict
上がりこむ	15 17	35	15 17 | 15 17 35 | 15 17	jmdict
上げる	15 19 31 34	17 38	15 17 19 31 34 | 15 19 31 34 | 15 19 31 34 38	jmdict
上ずる	30	15	30 | 15 30 | 30	jmdict
上せる	15 31	17	15 31 | 15 31 | 15 17	jmdict
上る	15 17 19	52	15 17 19 52 | 15 17 19 | 15 17 19	jmdict
下がかる	15	17	15 | 15 17 | 15	jmdict
下げる	15 17 19 36	33	15 17 19 33 | 15 17 19 36 | 15 17 19 36	jmdict
下げ渋る	13 19	15 16	13 15 19 | 13 16 | 19	jmdict
下げ渡す	36	37	36 | 36 37 | 36	jmdict
下す	15 34 36 57	17 30	15 34 36 57 | 15 30 34 36 57 | 15 17 34 36 57	jmdict
下る	15 17 36	57	15 17 36 57 | 15 17 36 | 15 17	jmdict
下ろす	15 37	36	15 37 | 15 37 | 15 36 37	jmdict
下卑る	13	15	13 15 | 13 | 13	jmdict
下押す	15	14 17	15 17 | 15 | 14 15	jmdict
与える	34 36	35 37	35 36 37 | 34 | 34 36	jmdict
与え給う	37	34	37 | 34 | 37	jmdict
与太る	31	30 34	31 | 34 | 30 31	jmdict
世慣れる	13	30	13 | 13 30 | 13	jmdict
世離れる	17	11 35	35 | 11 17 | 17	jmdict
並び称される	11 31	36	31 36 | 11 31 | 11	jmdict
並べる	17	15 33	15 | 17 33 | 17	jmdict
並べ直す	15 17	16	15 17 | 15 16 | 15 17	jmdict
並べ立てる	17 31	15	17 31 | 17 31 | 15 31	jmdict
中てる	15 30	51	15 30 | 15 30 | 15 30 51	jmdict
丸まる	15	33 56	15 | 15 33 | 15 56	jmdict
丸め込む	35	15 31	15 35 | 35 | 31 35	jmdict
乗じる	19 34	35	35 | 19 34 | 19 34	jmdict
乗ずる	34	19	34 | 34 | 19 34	jmdict
乗っかる	17	35	17 | 17 35 | 17	jmdict
乗っ取る	36	15	36 | 36 | 15 36	jmdict
乗りこなす	34	14 15	14 | 34 | 15 34	jmdict
乗りはぐれる	16	17 34	16 34 | 16 | 16 17	jmdict
乗り出す	15 17 38	34	15 17 34 | 15 17 38 | 15 38	jmdict
乗り合わす	35	17	35 | 17 35 | 35	jmdict
乗り合わせる	15 35	17	15 35 | 17 35 | 15 35	jmdict
乗り回る	15 17	33	15 17 33 | 15 | 15 17	jmdict
乗り捨てる	15	34	15 | 15 34 | 15	jmdict
乗り損なう	15 34	17	17 34 | 15 34 | 15 34	jmdict
乗り損ねる	15 34	16	15 34 | 16 34 | 15 34	jmdict
乗り移す	15	17	15 | 15 | 15 17	jmdict
乗り組む		15 17 38	38 | 15 | 17	jmdict
乗り込む	15 17	35	15 17 | 15 17 | 17 35	jmdict
乗り逃す	16	15 34	16 | 15 16 | 16 34	jmdict
乗り通る	15 17	16	15 16 17 | 15 17 | 15 17	jmdict
乗り遅れる	16	15	15 16 | 16 | 16	jmdict
乗り過ごす	16	15 17	16 | 15 16 | 16 17	jmdict
乗り間違える	10 17	15	17 | 10 17 | 10 15	jmdict
乗り飛ばす	15	17	15 | 15 17 | 15	jmdict
乗る	15 17 35	13	15 17 | 13 17 35 | 15 35	jmdict
乞う	31	35	31 | 31 | 31 35	jmdict
乱れる	13 15	30	13 15 | 13 15 | 15 30	jmdict
乱れ飛ぶ	15	13 17	15 17 | 13 15 | 15	jmdict
乳繰り合う	35	56	35 | 35 | 35 56	jmdict
乾ききる	51	15	51 | 15 51 | 51	jmdict
乾く	51	56	51 56 | 51 | 51	jmdict
事寄す	11	34	11 34 | 11 | 11	jmdict
事寄せる	34	11	34 | 11 | 34	jmdict
事故る	34	15	34 | 15 | 34	jmdict
事立てる	31 35	34	31 34 | 35 | 31 35	jmdict
事足る	19	13	13 | 19 | 19	jmdict
交う	35	11 15	35 | 11 35 | 15 35	jmdict
交える	11 35	15 31	11 15 31 35 | 11 35 | 35	jmdict
交わる	11 35	17 57	11 17 35 57 | 11 35 | 11 35	jmdict
交尾む	57	35	57 | 57 | 35 57	jmdict
仄めく	31	12	31 | 12 31 | 31	jmdict
今めかす	15	13 33	15 33 | 15 | 13 15	jmdict
仕える	36	33	33 36 | 36 | 36	jmdict
仕え奉る	36	33	36 | 33 36 | 36	jmdict
仕分ける	15	11 33	15 | 11 15 | 33	jmdict
仕切る	36	15 17 38	36 38 | 15 36 | 17 36	jmdict
仕掛ける	15 35	34	15 34 35 | 15 35 | 15 35	jmdict
仕済ます	34	15	15 34 | 34 | 34	jmdict
仕立てる	15 32	33	15 32 | 15 32 | 15 33	jmdict
仕立て上げる	15 32	34	32 34 | 15 32 | 15 32	jmdict
仕立て直す	15 33	32	15 33 | 15 33 | 15 32	jmdict
仕組む		30 32 34	34 | 32 | 30	jmdict
仕込む	33 38	15 30 34	33 38 | 30 33 38 | 15 33 34 38	jmdict
付いてくる	17	15	17 | 15 | 17	jmdict
付き従う	36	17 35	36 | 17 36 | 35 36	jmdict
付く	12 15 17 30 51	11 33 36	12 15 17 30 36 51 | 12 15 17 30 51 | 11 15 17 30 33 51	jmdict
付ける	15 31 36 51	17 19 33 35 37	15 17 19 31 35 36 37 51 | 15 31 36 | 15 31 33 36 51	jmdict
付け合せる	15	11	15 | 11 15 | 15	jmdict
付け回す	17 35	15	17 35 | 15 17 35 | 17 35	jmdict
付け回る	17 35	15	17 35 | 17 35 | 15 35	jmdict
付け狙う	35	30	30 35 | 35 | 35	jmdict
付け落とす	19	31 34 38	34 | 19 31 38 | 19	jmdict
付す	15	36	15 | 15 36 | 15	jmdict
代わり合う	35	11 16	11 | 16 35 | 35	jmdict
仰ぐ	17 36	30	17 30 36 | 17 36 | 17 36	jmdict
仰け反る	33	56	56 | 33 | 33	jmdict
仰せられる	31	36	31 36 | 31 | 31	jmdict
仰のける	15 56	17 33	15 17 56 | 15 33 | 15 56	jmdict
仰向く	17	15 33	15 17 | 33 | 17	jmdict
仰向ける	33	56	33 | 33 | 56	jmdict
任じる	36	30	36 | 36 | 30 36	jmdict
伏し倒れる	15	56	15 56 | 15 | 15	jmdict
伏し拝む	33	34	33 34 | 33 | 33	jmdict
伏す	33	15	15 33 | 33 | 33	jmdict
伏せる	15	17 31 33	15 17 | 15 31 | 15 33	jmdict
休す	15	33 57	33 | 15 57 | 15	jmdict
休まる	30	56	30 56 | 30 | 30	jmdict
休む	33	15	15 33 | 33 | 33	jmdict
休める	15 33	56	33 | 15 33 56 | 15 33	jmdict
伝う	17	15	17 | 15 17 | 17	jmdict
伝わる	31	11 15 51	15 31 51 | 11 31 | 31	jmdict
伝染る	57	50	57 | 50 57 | 57	jmdict
伴う	11	15 35	11 | 11 15 | 11 35	jmdict
伸し上げる	15 36	34	15 34 | 15 36 | 15 36	jmdict
伸ばす	15 16 17	19 56	15 16 19 56 | 15 16 17 | 15 16 17	jmdict
伸びる	15 16 19 57	13 17 56	15 16 19 57 | 15 19 56 | 13 15 16 17 19 57	jmdict
伸び上がる	15 17	33 56	15 17 | 15 17 | 33 56	jmdict
伸び広がる	15 17	19	15 17 19 | 15 17 | 15	jmdict
伸び悩む	13 15	19	13 15 | 15 19 | 13 15	jmdict
伺う	31 35	17	31 35 | 31 35 | 17 31	jmdict
似合う	13	11	13 | 11 13 | 13	jmdict
佇む	33	17	33 | 17 33 | 33	jmdict
位取る		17 34 36	34 | 36 | 17	jmdict
住す	33	17	33 | 33 | 17 33	jmdict
住み分ける	11 17	33 35	33 35 | 11 17 | 11 17	jmdict
住み替える	15 17	33	15 17 33 | 15 17 | 15 17	jmdict
住み込む	33	12	33 | 12 33 | 33	jmdict
住む	17	33	17 33 | 17 | 17	jmdict
作り上げる	15 32	34	15 32 | 15 32 | 32 34	jmdict
作り付ける	15	38	15 | 15 38 | 15	jmdict
作り出す	15 32	38	15 32 | 15 32 | 15 32 38	jmdict
作り変える	15	32	15 32 | 15 | 15	jmdict
作る	15 32 38	57	15 32 38 | 15 32 38 57 | 15 32 38	jmdict
併せ持つ	11	12	11 12 | 11 | 11	jmdict
使いこなす	34	14 15 33	14 33 | 15 34 | 34	jmdict
使いすぎる	19	33 37	19 | 19 33 37 | 19	jmdict
使い出す	15	33	15 33 | 15 | 15	jmdict
使い古す	15	33	15 33 | 15 | 15	jmdict
使い尽くす	19	15	19 | 19 | 15 19	jmdict
使い慣らす	13 33	15	13 33 | 13 33 | 15	jmdict
使い慣れる	13	30	13 | 13 | 13 30	jmdict
使い捨てる	15	33	15 | 15 | 15 33	jmdict
使い込む	33 37	19	19 37 | 33 37 | 33 37	jmdict
使う		15 33 34 36 37	15 36 37 | 34 | 33	jmdict
侍らす	36	35	36 | 35 36 | 36	jmdict
侍る	35	33	35 | 33 35 | 35	jmdict
侘びる	35	30	30 35 | 35 | 35	jmdict
供える	34	33	34 | 33 | 34	jmdict
侮る	30	35	30 | 30 | 30 35	jmdict
侵す	35	15 34	34 | 15 35 | 35	jmdict
便ずる		33 34 57	57 | 33 | 34	jmdict
促す	36	34	36 | 36 | 34	jmdict
保ち続ける	15	16	15 16 | 15 | 15	jmdict
信じ込ます	30	35 36	30 36 | 30 | 30 35	jmdict
信ずる	30	10	10 30 | 30 | 30	jmdict
修める	30	34	30 34 | 30 | 30	jmdict
倒す	15 35	34	15 35 | 15 34 | 15 35	jmdict
倒れる	15	38 57	15 | 15 38 57 | 15	jmdict
倒れ伏す	15	33	15 33 | 15 | 15	jmdict
借り出す	37	15	15 37 | 37 | 37	jmdict
借り換える	37	15	37 | 37 | 15 37	jmdict
借り集める	37	15	37 | 37 | 15 37	jmdict
借金で苦しむ	30	37	30 | 30 | 30 37	jmdict
倣う	30	11	30 | 11 | 30	jmdict
値下がる	19 37	15	15 19 | 19 37 | 19 37	jmdict
偏り見る	30	36	30 | 36 | 30	jmdict
偏る	13 30	19	13 30 | 19 30 | 13	jmdict
側む	17	15 35	17 | 15 17 | 17 35	jmdict
側める	17	33	17 | 17 | 17 33	jmdict
偽る	10	31 35	10 35 | 10 31 | 10	jmdict
傅く	36	33	33 36 | 36 | 36	jmdict
備える	34	12	34 | 12 34 | 34	jmdict
備え付ける	15	33	15 | 15 33 | 15	jmdict
催す	57	30 33 34 35	35 57 | 30 33 57 | 34 57	jmdict
傷つく	30 56	15	30 56 | 30 56 | 15 30 56	jmdict
傾く	15 17	19 30 38	15 17 | 15 17 38 | 15 17 19 30	jmdict
傾ける	15 30	17	15 30 | 15 17 | 15 30	jmdict
働かす	15 38	14 30 33	14 33 | 15 38 | 15 30 38	jmdict
働かせる	30 33	15 38	15 30 38 | 33 | 30 33	jmdict
働きすぎる	19 33	38	33 38 | 19 33 | 19 33	jmdict
働き続ける	33	15	15 33 | 33 | 33	jmdict
元気づく	30	15	30 | 30 | 15 30	jmdict
元気づける	30	35 36	30 36 | 35 | 30	jmdict
