word	kind	a	b	concrete_split	a_pass	b_pass	a_votes	b_votes	tier	jmdict_priority
おっ立つ	交わり無し	15	33	いいえ	割れた	割れた	3	3	jmdict	いいえ
お出でなさる	交わり無し	15 33	12 17	いいえ	割れた	割れた	3	3	jmdict	いいえ
かき暮れる	交わり無し	16	30	いいえ	割れた	一致	3	3	jmdict	いいえ
かしめる	交わり無し	36	15	いいえ	割れた	一致	3	3	jmdict	いいえ
かっ込む	交わり無し	15	33	いいえ	一致	一致	3	3	jmdict	いいえ
がかる	交わり無し	15	13	いいえ	一致	一致	3	3	jmdict	いいえ
がさつく	交わり無し	13	33 50	いいえ	割れた	割れた	3	3	jmdict	いいえ
ぎる	交わり無し	19	15	いいえ	割れた	一致	3	3	jmdict	いいえ
くぐもる	交わり無し	15 50	31	いいえ	一致	割れた	3	3	jmdict	いいえ
くり下がる	交わり無し	15 19	16	いいえ	割れた	割れた	3	3	jmdict	いいえ
こじ付ける	交わり無し	15 34	11	いいえ	一致	一致	3	3	jmdict	いいえ
ごった返す	交わり無し	15	13	いいえ	割れた	割れた	3	3	jmdict	いいえ
しくる	交わり無し	15	34	いいえ	一致	一致	3	3	jmdict	いいえ
しけ込む	交わり無し	33	17	いいえ	割れた	一致	3	3	jmdict	いいえ
しとく	交わり無し	15 33	34	いいえ	割れた	割れた	3	3	jmdict	いいえ
しみったれる	交わり無し	30	37	いいえ	割れた	割れた	3	3	jmdict	いいえ
しゃしゃり出る	交わり無し	15 34	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
し慣れる	交わり無し	33	13	いいえ	割れた	一致	3	3	jmdict	いいえ
し続ける	交わり無し	16	15	いいえ	一致	割れた	3	3	jmdict	はい
し腐る	交わり無し	15	34	いいえ	割れた	一致	3	3	jmdict	いいえ
じっと見返す	交わり無し	33 35	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
じわる	交わり無し	15 50	30	いいえ	割れた	一致	3	3	jmdict	いいえ
ずる	交わり無し	34	15	いいえ	割れた	割れた	3	3	jmdict	いいえ
せぐり上げる	交わり無し	15	30 56	いいえ	一致	割れた	3	3	jmdict	いいえ
せせら笑う	交わり無し	30 31	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
せられる	交わり無し	15	34	いいえ	一致	一致	3	3	jmdict	いいえ
せる	交わり無し	15	34	いいえ	一致	割れた	3	3	jmdict	はい
せんとく	交わり無し	31	34	いいえ	割れた	一致	3	3	jmdict	いいえ
そそける	交わり無し	30 35	15	いいえ	一致	割れた	3	3	jmdict	いいえ
そぞろ歩く	交わり無し	33	17	いいえ	一致	割れた	3	3	jmdict	いいえ
そびれる	交わり無し	15	16 34	いいえ	割れた	割れた	3	3	jmdict	いいえ
そぼ降る	交わり無し	50 52	51	いいえ	一致	割れた	3	3	jmdict	いいえ
たくる	交わり無し	33	15	いいえ	一致	一致	3	3	jmdict	いいえ
たげる	交わり無し	15	37	いいえ	割れた	割れた	3	3	jmdict	いいえ
ちょっぱる	交わり無し	15	37	いいえ	一致	一致	3	3	jmdict	いいえ
ちょる	交わり無し	15 37	12	いいえ	割れた	割れた	3	3	jmdict	いいえ
つつある	交わり無し	16	15	いいえ	割れた	割れた	3	3	jmdict	いいえ
でもある	交わり無し	10 11	12	いいえ	割れた	割れた	3	3	jmdict	はい
とっ捕まえる	交わり無し	34 36	15 35	いいえ	割れた	割れた	3	3	jmdict	いいえ
とっ捕まる	交わり無し	34 36	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
どやし付ける	交わり無し	36	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
どやす	交わり無し	36	31 35	いいえ	一致	割れた	3	3	jmdict	いいえ
なう	交わり無し	31	15	いいえ	一致	割れた	3	3	jmdict	はい
にたつく	交わり無し	33	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
ぬるつく	交わり無し	50	51	いいえ	割れた	割れた	3	3	jmdict	いいえ
ねじ伏せる	交わり無し	15 34 36	14 35	いいえ	割れた	割れた	3	3	jmdict	いいえ
のたくる	交わり無し	33	15 17	いいえ	割れた	割れた	3	3	jmdict	いいえ
はめ倒す	交わり無し	15 34	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
はやり立つ	交わり無し	15	30	いいえ	割れた	一致	3	3	jmdict	いいえ
ばれる	交わり無し	31	10	いいえ	割れた	割れた	3	3	jmdict	はい
ぱぐれる	交わり無し	15	17	いいえ	一致	割れた	3	3	jmdict	いいえ
ひっ捕まえる	交わり無し	34 35	15 36	いいえ	一致	割れた	3	3	jmdict	いいえ
ふける	交わり無し	33	16 30 57	いいえ	割れた	割れた	3	3	jmdict	はい
べた付く	交わり無し	13	15	いいえ	割れた	割れた	3	3	jmdict	いいえ
ほっつき歩く	交わり無し	33	17	いいえ	一致	割れた	3	3	jmdict	いいえ
ぼっ手繰る	交わり無し	15	37	いいえ	一致	一致	3	3	jmdict	いいえ
まかり出る	交わり無し	15 34	17	いいえ	一致	割れた	3	3	jmdict	いいえ
まやかす	交わり無し	31 34	10	いいえ	割れた	割れた	3	3	jmdict	いいえ
めく	交わり無し	15	13	いいえ	一致	割れた	3	3	jmdict	はい
もじ付く	交わり無し	15	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
もたつく	交わり無し	15 33	16	いいえ	割れた	割れた	3	3	jmdict	いいえ
やがる	交わり無し	34	30	いいえ	一致	割れた	3	3	jmdict	いいえ
やって行く	交わり無し	34 38	33	いいえ	割れた	割れた	3	3	jmdict	いいえ
やに下がる	交わり無し	15	30	いいえ	一致	割れた	3	3	jmdict	いいえ
らっしゃる	交わり無し	33	12 15 17	いいえ	一致	割れた	3	3	jmdict	いいえ
オケる	交わり無し	34	32	いいえ	一致	割れた	3	3	jmdict	いいえ
オラつく	交わり無し	33	35	いいえ	割れた	一致	3	3	jmdict	いいえ
カンコる	交わり無し	31	12	いいえ	割れた	割れた	3	3	jmdict	いいえ
ケラケラ笑う	交わり無し	33	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
スカす	交わり無し	15 34	33	いいえ	割れた	一致	3	3	jmdict	いいえ
タクる	交わり無し	37	17	いいえ	割れた	割れた	3	3	jmdict	いいえ
ダフる	交わり無し	34	37	いいえ	一致	一致	3	3	jmdict	いいえ
チキる	交わり無し	34	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
チャラ付く	交わり無し	15	33	いいえ	割れた	一致	3	3	jmdict	いいえ
チリつく	交わり無し	15	30	いいえ	一致	割れた	3	3	jmdict	いいえ
チルる	交わり無し	30	33	いいえ	割れた	割れた	3	3	jmdict	いいえ
デモる	交わり無し	31	35 36	いいえ	割れた	割れた	3	3	jmdict	いいえ
トラブる	交わり無し	15 35	13	いいえ	割れた	割れた	3	3	jmdict	いいえ
ドヤる	交わり無し	35	31	いいえ	割れた	割れた	3	3	jmdict	いいえ
ナビる	交わり無し	31 36	17	いいえ	割れた	一致	3	3	jmdict	いいえ
ネグる	交わり無し	35	34	いいえ	割れた	一致	3	3	jmdict	いいえ
ハミる	交わり無し	15	35	いいえ	一致	一致	3	3	jmdict	いいえ
バビる	交わり無し	15	30	いいえ	割れた	一致	3	3	jmdict	いいえ
バミる	交わり無し	32	33	いいえ	一致	一致	3	3	jmdict	いいえ
パサつく	交わり無し	50	51	いいえ	割れた	割れた	3	3	jmdict	いいえ
パチ放く	交わり無し	15	10 31	いいえ	一致	割れた	3	3	jmdict	いいえ
ビニる	交わり無し	15	33	いいえ	割れた	割れた	3	3	jmdict	いいえ
ファブる	交わり無し	32	15 33	いいえ	割れた	割れた	3	3	jmdict	いいえ
ブチる	交わり無し	15 30	34	いいえ	割れた	割れた	3	3	jmdict	いいえ
ホルる	交わり無し	37	15	いいえ	割れた	割れた	3	3	jmdict	いいえ
ヤニる	交わり無し	15	33	いいえ	一致	一致	3	3	jmdict	いいえ
ラグる	交わり無し	15	16	いいえ	割れた	一致	3	3	jmdict	いいえ
リピる	交わり無し	34	15	いいえ	割れた	一致	3	3	jmdict	いいえ
一字空ける	交わり無し	32	17	いいえ	割れた	割れた	3	3	jmdict	いいえ
一札入れる	交わり無し	31 36	34 37	いいえ	一致	割れた	3	3	jmdict	いいえ
一発やる	交わり無し	34	15 57	いいえ	一致	割れた	3	3	jmdict	いいえ
上ずる	交わり無し	15	30	いいえ	一致	割れた	3	3	jmdict	いいえ
上せる	交わり無し	30	15 31	いいえ	割れた	割れた	3	3	jmdict	はい
上汲む	交わり無し	33	15	いいえ	割れた	一致	3	3	jmdict	いいえ
下げ渋る	交わり無し	34	13 19	いいえ	割れた	割れた	3	3	jmdict	いいえ
下げ渡す	交わり無し	15 37	36	いいえ	一致	割れた	3	3	jmdict	いいえ
下卑る	交わり無し	30	13	いいえ	一致	割れた	3	3	jmdict	いいえ
下種張る	交わり無し	34	33	いいえ	割れた	一致	3	3	jmdict	いいえ
不味る	交わり無し	13	34	いいえ	割れた	一致	3	3	jmdict	いいえ
与える	交わり無し	37	34 36	いいえ	一致	割れた	3	3	jmdict	はい
世に出る	交わり無し	15 34	12 32	いいえ	割れた	割れた	3	3	jmdict	いいえ
世慣れる	交わり無し	30 33	13	いいえ	割れた	割れた	3	3	jmdict	いいえ
世離れる	交わり無し	33	17	いいえ	割れた	割れた	3	3	jmdict	いいえ
主立つ	交わり無し	13	36	いいえ	割れた	一致	3	3	jmdict	いいえ
乗りはぐれる	交わり無し	15	16	いいえ	割れた	割れた	3	3	jmdict	いいえ
乗り取る	交わり無し	37	36	いいえ	割れた	一致	3	3	jmdict	いいえ
乗り逃す	交わり無し	15 34	16	いいえ	一致	割れた	3	3	jmdict	いいえ
乗り間違える	交わり無し	15 34	10 17	いいえ	一致	割れた	3	3	jmdict	いいえ
事寄せる	交わり無し	31	34	いいえ	割れた	割れた	3	3	jmdict	いいえ
事故る	交わり無し	15 50	34	いいえ	割れた	割れた	3	3	jmdict	いいえ
事立てる	交わり無し	38	31 35	いいえ	割れた	割れた	3	3	jmdict	いいえ
人慣れる	交わり無し	33	13 35	いいえ	割れた	割れた	3	3	jmdict	いいえ
仄見える	交わり無し	15	12	いいえ	一致	一致	3	3	jmdict	いいえ
付き従う	交わり無し	33 35	36	いいえ	割れた	割れた	3	3	jmdict	いいえ
付け出す	交わり無し	15	37	いいえ	一致	一致	3	3	jmdict	いいえ
付け落とす	交わり無し	15	19	いいえ	割れた	割れた	3	3	jmdict	いいえ
仰向く	交わり無し	33	17	いいえ	割れた	割れた	3	3	jmdict	いいえ
企てる	交わり無し	34	30	いいえ	割れた	一致	3	3	jmdict	はい
伍す	交わり無し	35	11	いいえ	一致	一致	3	3	jmdict	いいえ
休す	交わり無し	33	15	いいえ	割れた	割れた	3	3	jmdict	いいえ
休まる	交わり無し	33	30	いいえ	割れた	割れた	3	3	jmdict	はい
似せる	交わり無し	15 32	11	いいえ	割れた	一致	3	3	jmdict	はい
似つく	交わり無し	13	11	いいえ	一致	一致	3	3	jmdict	いいえ
住む	交わり無し	33	17	いいえ	一致	割れた	3	3	jmdict	はい
佞む	交わり無し	31	35	いいえ	一致	一致	3	3	jmdict	いいえ
併せ持つ	交わり無し	19	11	いいえ	割れた	割れた	3	3	jmdict	はい
使い慣れる	交わり無し	15 33	13	いいえ	一致	割れた	3	3	jmdict	はい
侍る	交わり無し	33 36	35	いいえ	割れた	割れた	3	3	jmdict	いいえ
供える	交わり無し	33	34	いいえ	割れた	割れた	3	3	jmdict	はい
供す	交わり無し	33 37	34	いいえ	一致	一致	3	3	jmdict	いいえ
侵す	交わり無し	34	35	いいえ	割れた	割れた	2	3	jmdict	はい
倣う	交わり無し	34	30	いいえ	割れた	割れた	3	3	jmdict	はい
偽る	交わり無し	31 34	10	いいえ	割れた	割れた	3	3	jmdict	はい
充てる	交わり無し	15 37	19	いいえ	割れた	割れた	3	3	jmdict	はい
先駆ける	交わり無し	15 34	16	いいえ	割れた	一致	3	3	jmdict	はい
入りきる	交わり無し	15	17 19	いいえ	割れた	割れた	3	3	jmdict	いいえ
入れ忘れる	交わり無し	15	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
入れ揚げる	交わり無し	15	30 37	いいえ	割れた	一致	3	3	jmdict	いいえ
入れ違える	交わり無し	15	11 17	いいえ	割れた	割れた	3	3	jmdict	いいえ
具す	交わり無し	15	33	いいえ	割れた	割れた	3	3	jmdict	いいえ
兼ねる	交わり無し	15	11 13	いいえ	割れた	割れた	3	3	jmdict	はい
兼ね仕える	交わり無し	33 38	36	いいえ	割れた	割れた	3	3	jmdict	いいえ
写る	交わり無し	15 32	12	いいえ	割れた	割れた	3	3	jmdict	はい
冴え渡る	交わり無し	13 50	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
冴え返る	交わり無し	15 50	30 51	いいえ	割れた	一致	3	3	jmdict	いいえ
凄む	交わり無し	33	35	いいえ	一致	割れた	3	3	jmdict	いいえ
凝らせる	交わり無し	15	30	いいえ	一致	割れた	3	3	jmdict	いいえ
凭れる	交わり無し	33	11 17	いいえ	割れた	割れた	3	3	jmdict	はい
凭れ掛かる	交わり無し	15 33	17	いいえ	一致	割れた	3	3	jmdict	いいえ
出し切る	交わり無し	15 34	14 19	いいえ	一致	割れた	3	3	jmdict	はい
出し惜しむ	交わり無し	34	19	いいえ	割れた	割れた	3	3	jmdict	いいえ
出すぎる	交わり無し	13 15	19	いいえ	割れた	一致	3	3	jmdict	はい
出で立つ	交わり無し	33	15	いいえ	一致	割れた	3	3	jmdict	いいえ
出来す	交わり無し	15	12	いいえ	割れた	割れた	3	3	jmdict	いいえ
出歩く	交わり無し	33	15 17	いいえ	割れた	割れた	3	3	jmdict	はい
出渋る	交わり無し	15 34	30	いいえ	割れた	一致	3	3	jmdict	いいえ
出盛る	交わり無し	15 19	12	いいえ	割れた	割れた	3	3	jmdict	いいえ
分かち与える	交わり無し	37	34	いいえ	一致	割れた	3	3	jmdict	いいえ
分け持つ	交わり無し	37	34	いいえ	割れた	割れた	3	3	jmdict	いいえ
切り回す	交わり無し	15 34	38	いいえ	割れた	割れた	3	3	jmdict	いいえ
刷く	交わり無し	32	15	いいえ	割れた	一致	3	3	jmdict	いいえ
割り付ける	交わり無し	15 36	32	いいえ	割れた	割れた	3	3	jmdict	いいえ
割り切れる	交わり無し	13	11 19 30	いいえ	割れた	割れた	3	3	jmdict	いいえ
割り当てる	交わり無し	37	36	いいえ	割れた	一致	3	3	jmdict	はい
剽げる	交わり無し	15	33	いいえ	割れた	一致	3	3	jmdict	いいえ
力づく	交わり無し	30	14	いいえ	割れた	一致	3	3	jmdict	いいえ
力んで見せる	交わり無し	33 34	14	いいえ	一致	割れた	3	3	jmdict	いいえ
劣る	交わり無し	13	11	いいえ	割れた	一致	3	3	jmdict	はい
励む	交わり無し	34	33	いいえ	一致	割れた	3	3	jmdict	はい
労う	交わり無し	35	36	いいえ	割れた	一致	3	3	jmdict	いいえ
労る	交わり無し	33	35	いいえ	割れた	割れた	3	3	jmdict	はい
効く	交わり無し	15	14	いいえ	割れた	割れた	3	3	jmdict	はい
勝る	交わり無し	13 34	11	いいえ	一致	一致	3	3	jmdict	はい
募らす	交わり無し	15 19	30	いいえ	割れた	割れた	3	3	jmdict	いいえ
